Year,Units,Series,time series,Bereich,Rohstoffkategorie,Kategorie der letzten Verwendung,Value
2010,2010 = 100,Indikator: Gesamtrohstoffproduktivität,raw material input productivity,,,,100
2011,2010 = 100,Indikator: Gesamtrohstoffproduktivität,raw material input productivity,,,,97.4
2012,2010 = 100,Indikator: Gesamtrohstoffproduktivität,raw material input productivity,,,,101.7
2013,2010 = 100,Indikator: Gesamtrohstoffproduktivität,raw material input productivity,,,,101.7
2014,2010 = 100,Indikator: Gesamtrohstoffproduktivität,raw material input productivity,,,,102.6
2015,2010 = 100,Indikator: Gesamtrohstoffproduktivität,raw material input productivity,,,,106.8
2016,2010 = 100,Indikator: Gesamtrohstoffproduktivität,raw material input productivity,,,,106.0
2017,2010 = 100,Indikator: Gesamtrohstoffproduktivität,raw material input productivity,,,,109.4
2018,2010 = 100,Indikator: Gesamtrohstoffproduktivität,raw material input productivity,,,,109.4
2019,2010 = 100,Indikator: Gesamtrohstoffproduktivität,raw material input productivity,,,,112.8
2020,2010 = 100,Indikator: Gesamtrohstoffproduktivität,raw material input productivity,,,,112.0
2021,2010 = 100,Indikator: Gesamtrohstoffproduktivität,raw material input productivity,,,,114.5
2030,2010 = 100,Indikator: Gesamtrohstoffproduktivität,raw material input productivity,,,,
2010,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"value of consumption, investment and exports (price-adjusted)",,,,100.0
2011,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"value of consumption, investment and exports (price-adjusted)",,,,105
2012,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"value of consumption, investment and exports (price-adjusted)",,,,105
2013,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"value of consumption, investment and exports (price-adjusted)",,,,106.7
2014,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"value of consumption, investment and exports (price-adjusted)",,,,109.2
2015,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"value of consumption, investment and exports (price-adjusted)",,,,112.5
2016,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"value of consumption, investment and exports (price-adjusted)",,,,115.8
2017,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"value of consumption, investment and exports (price-adjusted)",,,,119.2
2018,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"value of consumption, investment and exports (price-adjusted)",,,,121.7
2019,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"value of consumption, investment and exports (price-adjusted)",,,,123.3
2020,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"value of consumption, investment and exports (price-adjusted)",,,,117.5
2021,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"value of consumption, investment and exports (price-adjusted)",,,,122.5
2030,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"value of consumption, investment and exports (price-adjusted)",,,,
2010,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"raw material input for consumption, investment and exports",,,,100.0
2011,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"raw material input for consumption, investment and exports",,,,106.8
2012,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"raw material input for consumption, investment and exports",,,,102.9
2013,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"raw material input for consumption, investment and exports",,,,103.9
2014,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"raw material input for consumption, investment and exports",,,,105.8
2015,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"raw material input for consumption, investment and exports",,,,104.9
2016,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"raw material input for consumption, investment and exports",,,,108.7
2017,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"raw material input for consumption, investment and exports",,,,108.7
2018,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"raw material input for consumption, investment and exports",,,,110.7
2019,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"raw material input for consumption, investment and exports",,,,108.7
2020,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"raw material input for consumption, investment and exports",,,,104.9
2021,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"raw material input for consumption, investment and exports",,,,106.8
2030,2010 = 100,Indikator: Gesamtrohstoffproduktivität,"raw material input for consumption, investment and exports",,,,
2010,Millionen Tonnen,"Zusätzliche Informationen: Rohstoffeinsatz",,,,,2614
2011,Millionen Tonnen,"Zusätzliche Informationen: Rohstoffeinsatz",,,,,2803
2012,Millionen Tonnen,"Zusätzliche Informationen: Rohstoffeinsatz",,,,,2697
2013,Millionen Tonnen,"Zusätzliche Informationen: Rohstoffeinsatz",,,,,2726
2014,Millionen Tonnen,"Zusätzliche Informationen: Rohstoffeinsatz",,,,,2773
